Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Solar Irradiance (W/m²),Wind Power (MW),Solar Power (MW),Thermal Power (MW),
01/01/24 0:00,19.97,40.46,8.39,0.00,1.48,0.00,0.00,
01/01/24 1:00,13.62,65.90,9.05,258.82,1.86,2.59,50.00,
01/01/24 2:00,21.48,64.91,5.04,500.00,0.32,5.00,80.00,
01/01/24 3:00,30.23,34.66,6.47,707.11,0.68,7.07,110.00,
01/01/24 4:00,12.66,22.13,4.22,866.03,0.19,8.66,140.00,
01/01/24 5:00,12.66,50.35,2.10,965.93,0.02,9.66,170.00,
01/01/24 6:00,30.79,59.87,4.52,1000.00,0.23,10.00,200.00,
01/01/24 7:00,22.67,81.36,4.92,965.93,0.30,9.66,170.00,
01/01/24 8:00,10.31,84.98,5.29,866.03,0.37,8.66,200.00,
01/01/24 9:00,20.43,57.02,4.08,707.11,0.17,7.07,170.00,
01/01/24 10:00,10.37,72.77,4.53,500.00,0.23,5.00,200.00,
01/01/24 11:00,10.34,50.75,5.98,258.82,0.53,2.59,170.00,
01/01/24 12:00,17.42,72.23,4.46,0.00,0.22,0.00,200.00,
01/01/24 13:00,-4.13,34.34,7.09,0.00,0.89,0.00,170.00,
01/01/24 14:00,-2.25,45.97,7.36,0.00,1.00,0.00,200.00,
01/01/24 15:00,9.38,64.40,10.76,0.00,3.12,0.00,170.00,
01/01/24 16:00,4.87,21.27,8.25,0.00,1.40,0.00,200.00,
01/01/24 17:00,18.14,70.57,6.49,0.00,0.68,0.00,170.00,
01/01/24 18:00,5.92,78.49,4.76,0.00,0.27,0.00,200.00,
01/01/24 19:00,0.88,47.94,6.59,0.00,0.71,0.00,170.00,
01/01/24 20:00,29.66,51.36,6.65,0.00,0.74,0.00,200.00,
01/01/24 21:00,12.74,79.59,4.97,0.00,0.31,0.00,230.00,
01/01/24 22:00,15.68,74.30,7.57,0.00,1.08,0.00,200.00,
01/01/24 23:00,0.75,40.17,3.20,0.00,0.08,0.00,230.00,
01/02/24 0:00,9.56,42.68,5.51,0.00,0.42,0.00,200.00,
01/02/24 1:00,16.11,67.52,7.11,258.82,0.90,2.59,230.00,
01/02/24 2:00,3.49,59.42,5.42,500.00,0.40,5.00,200.00,
01/02/24 3:00,18.76,31.36,5.59,707.11,0.44,7.07,170.00,
01/02/24 4:00,8.99,41.70,5.72,866.03,0.47,8.66,200.00,
01/02/24 5:00,12.08,83.00,4.33,965.93,0.20,9.66,170.00,
01/02/24 6:00,8.98,68.17,8.35,1000.00,1.45,10.00,200.00,
01/02/24 7:00,33.52,89.02,3.96,965.93,0.16,9.66,170.00,
01/02/24 8:00,14.87,73.69,6.64,866.03,0.73,8.66,200.00,
01/02/24 9:00,4.42,85.94,6.83,707.11,0.80,7.07,230.00,
01/02/24 10:00,23.23,35.13,4.10,500.00,0.17,5.00,200.00,
01/02/24 11:00,2.79,74.00,6.15,258.82,0.58,2.59,230.00,
01/02/24 12:00,17.09,21.42,4.18,0.00,0.18,0.00,200.00,
01/02/24 13:00,-4.60,66.95,8.78,0.00,1.69,0.00,230.00,
01/02/24 14:00,1.72,52.85,3.72,0.00,0.13,0.00,200.00,
01/02/24 15:00,16.97,44.27,4.69,0.00,0.26,0.00,170.00,
01/02/24 16:00,22.38,80.37,3.55,0.00,0.11,0.00,200.00,
01/02/24 17:00,16.71,79.80,3.28,0.00,0.09,0.00,230.00,
01/02/24 18:00,13.84,21.56,9.18,0.00,1.94,0.00,200.00,
01/02/24 19:00,11.99,62.67,7.09,0.00,0.89,0.00,170.00,
01/02/24 20:00,0.21,45.75,6.28,0.00,0.62,0.00,200.00,
01/02/24 21:00,7.80,49.10,4.69,0.00,0.26,0.00,230.00,
01/02/24 22:00,10.39,78.24,7.82,0.00,1.19,0.00,260.00,
01/02/24 23:00,25.57,41.69,4.35,0.00,0.21,0.00,230.00,
01/03/24 0:00,18.44,86.01,7.59,0.00,1.09,0.00,200.00,
01/03/24 1:00,-2.63,32.57,4.25,258.82,0.19,2.59,230.00,
01/03/24 2:00,18.24,66.39,4.71,500.00,0.26,5.00,200.00,
01/03/24 3:00,11.15,67.05,7.52,707.11,1.06,7.07,170.00,
01/03/24 4:00,8.23,37.65,7.73,866.03,1.15,8.66,200.00,
01/03/24 5:00,21.12,42.73,7.19,965.93,0.93,9.66,230.00,
01/03/24 6:00,25.31,78.44,3.90,1000.00,0.15,10.00,200.00,
01/03/24 7:00,24.31,73.33,5.11,965.93,0.33,9.66,170.00,
01/03/24 8:00,6.61,43.04,6.31,866.03,0.63,8.66,200.00,
01/03/24 9:00,11.91,57.38,4.30,707.11,0.20,7.07,230.00,
01/03/24 10:00,18.31,24.32,8.74,500.00,1.67,5.00,200.00,
01/03/24 11:00,24.76,34.61,1.20,258.82,0.00,2.59,230.00,
01/03/24 12:00,10.21,54.01,4.44,0.00,0.22,0.00,200.00,
01/03/24 13:00,13.14,26.02,4.98,0.00,0.31,0.00,230.00,
01/03/24 14:00,3.94,79.03,0.31,0.00,0.00,0.00,200.00,
01/03/24 15:00,3.04,70.26,3.21,0.00,0.08,0.00,230.00,
01/03/24 16:00,23.13,86.05,7.25,0.00,0.95,0.00,200.00,
01/03/24 17:00,28.56,68.54,6.06,0.00,0.56,0.00,170.00,
01/03/24 18:00,14.28,85.83,9.15,0.00,1.91,0.00,140.00,
01/03/24 19:00,25.04,58.82,9.09,0.00,1.88,0.00,170.00,
01/03/24 20:00,18.62,62.02,6.87,0.00,0.81,0.00,200.00,
01/03/24 21:00,8.55,88.39,6.63,0.00,0.73,0.00,230.00,
01/03/24 22:00,18.61,64.95,6.13,0.00,0.58,0.00,200.00,
01/03/24 23:00,30.38,22.16,0.69,0.00,0.00,0.00,170.00,
01/04/24 0:00,14.64,70.67,3.21,0.00,0.08,0.00,200.00,
01/04/24 1:00,30.65,83.38,6.20,258.82,0.60,2.59,230.00,
01/04/24 2:00,-11.20,75.69,7.23,500.00,0.95,5.00,200.00,
01/04/24 3:00,23.22,60.87,6.58,707.11,0.71,7.07,230.00,
